highway,name,osm_id,geometry,asfinag_position,dist_along_highway
A9,Spielfeld,36742448,POINT (576305.7636859515 314240.6765387399),228,1637.1480394274745
A9,Straß Ost,33026881,POINT (576673.0003863681 316996.5271064994),225,4575.653668387316
A9,Vogau-Straß,33026597,POINT (574282.4847601426 318396.1353828225),222,7423.233636021958
A9,Leibnitz,33026241,POINT (570637.1803976831 325386.4453855057),214,15488.336063383049
A9,Lebring,33025763,POINT (566565.2591429834 330327.2604818011),208,22060.156144451743
A9,Wildon,36739609,POINT (562978.2530179248 335017.6963191358),202,28190.268952208007
A9,Wundschuh,420285788,POINT (562346.8872371346 338968.4568012243),197,32231.61157946679
A9,Kalsdorf,36678075,POINT (560264.8454158931 342315.4203738485),194,36175.05020472987
A9,Schachenwald,55147130,POINT (559416.1198082557 343635.6185413745),192,37744.62174632282
A9,Knoten Graz West,29684453,POINT (558074.7591349999 345905.7821941064),189,40385.37233217304
A9,Seiersberg,26756297,POINT (557716.1582468448 347926.0843924502),188,42453.40141614594
A9,Graz-Webling,2241867555,POINT (558078.287703614 349617.5307004147),185,44188.58478459508
A9,Gratkorn Süd,21099575,POINT (554587.7536682154 359859.5066516274),173,56688.41483153033
A9,Gratkorn Nord,283355826,POINT (551536.9576652681 362638.9325257043),169,60979.66751510262
A9,Knoten Peggau-Deutschfeistritz,515055616,POINT (551462.508789312 366122.6132946061),165,64699.54340284036
A9,Raststätte Deutschfeistritz,340341494,POINT (550609.7506135625 369063.7562329827),162,67854.5550257206
A9,Übelbach,332531457,POINT (546434.440718983 370307.7813347075),157,72821.66162632858
A9,Knoten St. Michael,20968286,POINT (527116.5152000629 383040.4424395873),133,97024.372504377
A9,Terminal Sankt Michael,370319549,POINT (526090.6558131743 385273.8764849436),130,99639.81491685419
A9,Traboch,21099657,POINT (525603.3870398768 386554.7146637992),129,101016.14950549683
A9,Mautern,21100085,POINT (512175.5234078933 389600.6873915137),115,115127.25092646926
A9,Kalwang,29877048,POINT (507236.8015644709 392538.6572238004),109,121208.37916896107
A9,Treglwang,29877045,POINT (495900.9891078069 397978.2342857838),95,134498.12983405995
A9,Trieben,21099932,POINT (486992.6246114282 400369.3802181216),86,143986.74659624533
A9,Rottenmann,21099893,POINT (475976.1132200661 403220.6230571239),74,155751.14637623407
A9,Selzthal,21099836,POINT (472796.1134105645 406307.7042749617),69,160522.14798192293
A9,Ardning,21099682,POINT (473882.5015795912 408765.8223320771),67,163230.59235380663
A9,Spital am Pyhrn,487079270,POINT (474972.9988265642 416540.565730748),57,172795.73523414732
A9,Gleinkerau,29876939,POINT (474490.6034723435 420753.135108333),53,177221.05028134503
A9,Windischgarsten,14765351,POINT (472708.7376812429 425507.3166511765),48,182338.15524391053
A9,St. Pankraz-Hinterstoder,14765412,POINT (463438.5681383822 430533.3022216209),36,193409.17611731632
A9,Klaus,21099818,POINT (462702.362267328 438354.4839216495),26,201604.38358292403
A9,Inzersdorf-Kirchdorf,21531606,POINT (457188.2666097832 448050.2387913214),16,213990.3583635558
A9,Ried im Traunkreis,14765594,POINT (454896.6910842729 457588.7393899594),5,224207.9893253321
A9,Knoten Voralpenkreuz,14765614,POINT (452854.7282819158 462577.2862218762),196,229685.06245822972
A9,Gersdorf,269596602,POINT (576803.5230222418 316677.0398611595),226,234312.9687729283
A9,Straß West,1394053916,POINT (576119.1683209919 317588.7443468826),225,235469.70547836536
A9,Hengsberg,5837510966,POINT (563552.8470464272 333159.4880595304),204,256285.6947489295
A9,Schwarzlsee,31940347,POINT (558595.499233818 344886.6953256658),190,269319.4578543332
A9,Graz Nord,21141023,POINT (554868.6952455629 359224.9682759782),175,286028.88423947553
A9,Mautern in der Steiermark,21100623,POINT (511461.5017662686 389598.2622088949),115,345887.27044530166
