,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation,eta,a,kW,cars,€/kW,€/car,kW,rel.change
0,55,524,62468000,5218.165304,0.054425304090189,2022-01-31 23:20:51.196741,33.49,0.69,484,5100000,368.760330578512,53.0057748191344,183400,1.87338431548958
1,54,421,49347000,6295.664481,0.054425290098539,2022-01-31 23:42:25.036965,33.59,0.83,381,5100000,370.056242969629,34.7058338251171,147350,1.47989203778677
2,54,295,33345000,4323.934665,0.054425287218878,2022-02-01 00:00:58.160035,23.07,0.83,255,5100000,373.613445378151,34.1456086719708,103250,1
3,54,530,63190000,5209.559598,0.054425282156261,2022-02-01 00:15:24.392361,23.07,1,490,5100000,368.454810495627,53.7069617617311,185500,1.895036737142
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,33345000,,,,,,,,,,,
