,epsilon,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,10,42,209,28223000,1994.402625,0.05442533185314,2022-02-10 15:41:13.229866
1,20,43,413,54171000,3988.804139,0.05442531075322,2022-02-10 15:52:02.256606
2,30,42,617,80039000,5983.205064,0.05442530281781,2022-02-10 16:02:56.042366
3,40,43,823,106241000,7977.604416,0.05442528700478,2022-02-10 16:13:58.541373
4,50,46,1028,132396000,9972.011653,0.054425318769516,2022-02-10 16:25:00.619224
5,60,48,1232,158384000,11966.412035,0.054425310253497,2022-02-10 16:37:37.534810
6,70,52,1438,184706000,13960.81516,0.054425315076203,2022-02-10 16:54:09.910995
0,80,58,1643,210981000,16103.667575,0.054931699034934,2022-02-10 18:00:00.557797
,90,63,1846,236962000,18347.510859,0.05563176582652,2022-02-10 18:49:25.990402
0,100,68,2051,263197000,20767.246344,0.056671817165106,2022-02-10 21:31:28.339960
